date,episode,segment,model,mode,input_reference,prompt_file,seed,duration,resolution,result_path,score,status,user_feedback,issue,next_action
2026-05-16,ep001,character_ref,unknown,text-to-image_with_reference,用户已提供咕咕嘎嘎参考图,02_prompts/character/gugugaga_character_prompt_v001.md,none,image,unknown,未保存路径,1,discarded,用户反馈：第一次角色图生成失败，结果变成真实企鹅，不符合咕咕嘎嘎参考图。,生成结果变成真实企鹅，未遵循参考图；当前prompt里 Antarctic penguin / soft black and white feathers 等词把模型拉向真实企鹅，且参考图优先级不够明确,下一轮使用 reference-first prompt：弱化企鹅物种描述，强调保留参考图主体，只做小修，不重新设计角色
2026-05-16,ep001,character_ref,unknown,image-to-image_with_reference,用户已提供咕咕嘎嘎参考图,02_prompts/character/gugugaga_character_prompt_v002_reference_first.md,none,image,unknown,未保存路径,1,discarded,用户反馈：第二版 reference-first prompt 仍然生成真实企鹅，需要改为企鹅外套 Q 版少女身份。,第二版依旧生成真实企鹅；根因是文字主体定义与参考图强冲突：参考图实际是企鹅外套Q版少女IP，但prompt仍强调 penguin / mascot / Antarctic penguin，并且负面词 human body 误伤少女特征,下一轮改用 v003：锁定 anime penguin-girl mascot identity，明确保留少女人脸、黑短发、蓝色发卡、企鹅hood、原始脸型比例；删除 human body 负面词和 Antarctic penguin 强触发词
2026-05-16,ep001,character_ref,ChatGPT,image-to-image_with_reference,00_references/character/images/raw/20260516-205705.jpg,02_prompts/character/gugugaga_character_prompt_v004_red_scarf_variant.md,none,image,1086x1448,00_references/character/images/selected/gugugaga_primary_reference.png,5,selected,用户反馈：本地查看角色图没有脸部遮挡；要求把 v004 红围巾角色图改名并放到主参考图。,红围巾版咕咕嘎嘎符合第一集主角方向：红围巾醒目，保留黑短发、蓝色发卡、企鹅hood、圆滚滚体型和呆萌气质；已从 variations/gugugaga_v004_red_scarf_001.png 复制为主参考图,后续所有角色关键帧和视频生成统一使用 00_references/character/images/selected/gugugaga_primary_reference.png
2026-05-16,ep001,monster_ref,ChatGPT,text-to-image,none,02_prompts/monster/snowstorm_monster_prompt_v001.md,none,image,unknown,00_references/monster/images/variations/snowstorm_monster_v001_001.png,4,draft,用户反馈：询问第一版雪怪是否 OK；评估为候选可用，但希望继续更新雪怪 prompt。,第一版雪怪整体可用：巨大、有压迫感、蓝色发光眼睛、雪云和冰晶元素完整；问题是略偏史诗 Boss，人形粗手臂和尖冰晶稍强，笨重喜剧感还可加强,保留为 v001 候选；下一轮使用 02_prompts/monster/snowstorm_monster_prompt_v002.md 生成更圆、更笨重、更儿童动画的版本
2026-05-16,ep001,monster_ref,ChatGPT,text-to-image,none,02_prompts/monster/snowstorm_monster_prompt_v002.md,none,image,1122x1402,00_references/monster/images/variations/snowstorm_monster_v002_001.png,3,draft,用户反馈：第二版雪怪压迫感不足，腿部形态有点出戏，整体感觉还不如第一版。,v002 比 v001 更圆、更儿童动画，但牺牲了开场反派需要的压迫感；下半身出现类似巨人腿部 / 站立姿态，和“暴风雪云怪物”设定不够一致。,不选 v002 作为主参考图；新增 02_prompts/monster/snowstorm_monster_prompt_v003_no_legs.md，保留 v001 压迫感并明确禁止双腿、脚、裤子和人类下半身。
2026-05-16,ep001,monster_ref,ChatGPT,text-to-image,none,02_prompts/monster/snowstorm_monster_prompt_v003_no_legs.md,none,image,1122x1402,00_references/monster/images/variations/snowstorm_monster_v003_001.png,1,discarded,用户反馈：确认 v003 异常原因是把负向提示词直接贴进了正向输入，没有告诉工具这是负向 prompt。,v003 输出异常的关键原因是负向词被当作正向内容使用，导致 collage / photo overlay / human 等本应避免的元素反而影响画面；同时结果仍不适合作为雪怪参考图。,保留废弃结论；使用 v004 时必须将正向 Prompt 和负向 Prompt 分开粘贴。如果工具没有负向输入框，使用 Avoid: ... 或 Do not include: ... 句式。
2026-05-16,ep001,monster_ref_direction,none,user_feedback_prompt_revision,01_scripts/episode_001_slip_saves_antarctica.md,02_prompts/monster/snowstorm_monster_prompt_v005_comedy_snowman_target.md,none,image,none,none,0,draft,用户反馈：雪怪问题不在画质，而是角色设计方向和剧情功能没有对齐；需要喜剧型灾难反派，不是史诗冰雪 Boss。,此前 prompt 中 huge powerful、intimidating、massive living blizzard、tornado-like、storm-cloud torso 等词把模型推向史诗冰雪 Boss / 风暴巨人；但剧本需要大、笨、慢、圆、好包裹、能变雪人的雪云怪。,新增并使用 02_prompts/monster/snowstorm_monster_prompt_v005_comedy_snowman_target.md；后续生成优先检查是否能自然被雪球包成巨大雪人。
2026-05-17,ep001,monster_ref,ChatGPT,text-to-image,none,外部 GPT 交流改写版本,none,image,1122x1402,00_references/monster/images/variations/snowstorm_monster_v006_001.png,3,draft,用户反馈：当前图片有了冰晶王冠、极光蓝光和云胡子等记忆点，但整体仍不尽如人意；作为短视频 Boss 需要更惊艳、更吸睛。,该图比普通雪云怪更有记忆点，但过于邪魅和攻击性，冰晶王冠/肩刺偏强，表情太像反派 Boss，底部仍偏龙卷风结构，和“笨重、圆、好包成雪人”的剧情功能还有冲突。,保留为高识别度方向参考；新增 02_prompts/monster/snowstorm_monster_prompt_v006_memorable_storm_king.md，将冰晶王冠、极光蓝纹路、云眉毛、云胡子保留为视觉锚点，同时压回圆笨雪人比例。
2026-05-17,ep001,monster_ref_direction,none,user_feedback_prompt_revision,00_references/monster/images/variations/snowstorm_monster_v006_001.png,02_prompts/monster/snowstorm_monster_prompt_v006_memorable_storm_king.md,none,image,none,none,0,draft,用户反馈：雪怪需要记忆点和惊艳感，不能只是大雪团；要像南极暴风雪之王，但性格笨重搞笑。,此前 v005 解决了剧情功能，但吸睛度不足；需要新增冰晶王冠、极光蓝发光纹路、大云眉毛/云胡子、呆笨自信表情等强设计锚点。,下一轮使用 v006 生成，评估是否同时满足“第一眼惊艳”和“最终能被雪球包成雪人”。
2026-05-17,ep001,monster_ref,ChatGPT,text-to-image,none,02_prompts/monster/snowstorm_monster_prompt_v006_memorable_storm_king.md,none,image,1122x1402,00_references/monster/images/variations/snowstorm_monster_v007_001.png,1,discarded,用户反馈：仍然不满意；图片太像人且很友善不像 boss；整体违和奇怪；认为方向需要重新讨论。,v006 方向把怪物推成有眉毛胡子拳头肩膀和笑脸的人形雪人王；这些人格化元素削弱暴风雪怪的灾害感和压迫感；问题是设计方向错误而非画质不足。,废弃该候选图；新增 02_prompts/monster/snowstorm_monster_prompt_v007_living_blizzard_wall.md；下一轮改为非人形活的暴风雪墙方向。
